id;winner_ace;winner_df;winner_serve_points;winner_1st_in;winner_1st_won;winner_2nd_won;loser_df;loser_serve_points;loser_1st_in;loser_1st_won;loser_2nd_won;match_id;loser_ace
23932;5;6;79;52;43;9;5;87;47;31;6;102521;2
23933;6;2;82;56;47;13;4;79;35;26;15;102522;3
23934;14;4;173;100;80;31;7;161;94;68;27;102523;8
23935;5;7;138;75;51;30;6;173;103;66;30;102524;10
23936;;;;;;;;;;;;102525;
23937;5;1;98;56;40;18;5;115;66;37;15;102526;4
23938;15;6;190;127;102;34;5;219;134;106;40;102527;24
23939;4;3;126;71;53;28;2;124;75;59;21;102528;9
23940;17;3;102;63;56;23;4;99;56;43;14;102529;6
23941;16;2;96;64;60;21;5;109;68;49;16;102530;3
23942;6;4;109;60;49;25;3;108;52;40;27;102531;11
23943;10;8;168;94;72;31;9;137;84;56;23;102532;5
23944;11;4;105;58;50;25;0;99;56;39;18;102533;3
23945;9;6;174;78;56;48;2;151;93;62;30;102534;6
23946;1;4;89;65;42;8;5;87;55;28;14;102535;5
23947;2;6;129;77;61;27;6;124;78;61;24;102536;10
23948;4;7;105;63;50;17;3;102;66;51;11;102537;9
23949;8;1;148;79;62;38;3;145;90;61;27;102538;5
23950;15;2;146;94;72;30;1;137;86;61;31;102539;5
23951;9;4;101;66;56;16;2;91;58;39;16;102540;2
23952;7;6;123;76;64;19;4;136;85;58;23;102541;9
22473;0;3;56;38;24;9;0;49;25;11;9;102542;0
22474;3;1;75;39;26;20;4;77;55;30;10;102543;1
22475;4;2;101;50;33;26;5;72;29;23;18;102544;9
22476;2;1;80;50;36;14;3;77;40;25;13;102545;2
22477;10;3;86;47;36;22;3;86;58;34;15;102546;0
22478;5;4;52;30;24;12;3;75;55;28;9;102547;3
22479;1;0;45;22;16;15;4;55;32;19;9;102548;0
22480;3;0;78;50;29;21;2;73;37;26;16;102549;9
22481;2;6;90;47;32;21;6;107;64;38;22;102550;0
22482;2;2;74;36;30;18;4;78;39;26;15;102551;2
22483;0;0;46;29;22;12;8;70;34;23;12;102552;2
22484;1;2;63;50;32;10;3;67;42;26;10;102553;3
22485;2;6;96;45;34;23;4;65;35;25;13;102554;7
22486;4;7;77;41;25;22;2;81;51;30;11;102555;1
22487;1;0;41;21;17;15;4;48;25;15;9;102556;4
22488;5;1;51;32;23;13;2;70;39;24;13;102557;3
22489;3;5;63;35;25;14;5;66;36;19;13;102558;1
22490;3;2;78;47;31;17;6;72;33;22;17;102559;1
22491;2;4;83;37;33;26;6;86;56;44;12;102560;6
22492;2;1;60;37;26;11;2;54;23;13;13;102561;4
22493;6;2;86;57;36;17;3;95;57;32;18;102562;3
22494;0;0;43;34;22;5;2;51;28;14;8;102563;1
22495;4;3;109;71;46;23;5;131;71;45;28;102564;3
22496;2;0;43;28;21;12;2;63;33;24;7;102565;4
22497;5;1;54;35;28;13;1;51;34;24;10;102566;4
22498;11;2;59;34;29;15;1;87;55;35;18;102567;0
22499;0;2;61;37;29;14;2;73;55;38;5;102568;0
22500;3;3;68;43;34;14;5;73;48;35;9;102569;4
22501;0;0;42;29;23;10;4;51;23;13;13;102570;3
22502;2;1;94;64;41;20;7;95;52;38;13;102571;2
22503;0;3;57;36;25;14;5;54;27;18;9;102572;3
22504;0;0;49;38;29;6;3;49;37;19;4;102573;0
22505;5;1;64;25;19;21;2;57;29;16;15;102574;6
22506;1;0;36;21;16;10;0;47;25;9;8;102575;1
22507;5;1;55;31;22;13;0;43;28;16;4;102576;4
22508;4;3;88;55;39;17;6;93;43;34;18;102577;8
22509;3;4;44;21;20;11;2;43;28;11;4;102578;0
22510;6;3;77;45;33;18;3;60;27;19;18;102579;1
22511;9;6;101;54;38;24;11;108;62;41;17;102580;5
22512;2;0;42;22;18;15;1;57;47;26;5;102581;0
22513;7;1;79;53;33;13;2;83;67;37;5;102582;3
22514;4;4;52;27;16;14;3;55;27;16;8;102583;2
22515;2;2;62;42;31;11;3;47;22;16;11;102584;3
22516;5;5;43;20;15;13;3;52;29;14;9;102585;1
22517;7;2;76;36;28;25;7;78;41;31;13;102586;6
22518;0;8;75;42;25;16;6;58;38;19;6;102587;3
22519;2;1;41;29;20;4;2;49;26;8;8;102588;1
22520;4;0;63;48;34;11;2;62;29;25;16;102589;6
22521;2;2;70;57;37;9;1;66;23;14;23;102590;4
22522;8;1;68;36;24;17;5;76;47;32;8;102591;2
22523;6;4;69;29;22;22;5;66;37;28;9;102592;6
22524;5;5;90;58;44;13;2;85;50;28;19;102593;6
22525;7;7;75;34;31;16;4;61;32;23;11;102594;4
22526;5;1;40;17;14;19;1;64;31;16;17;102595;3
22527;8;6;86;56;35;15;11;103;53;33;19;102596;3
22528;3;3;71;47;35;10;4;62;39;22;9;102597;3
22529;1;1;69;40;28;20;3;67;32;24;19;102598;6
22530;6;4;79;46;30;17;3;67;39;28;9;102599;4
22531;4;0;49;39;27;8;1;60;36;22;7;102600;2
22532;5;1;71;50;33;13;8;89;51;33;13;102601;2
22533;3;1;56;48;34;4;4;76;49;31;10;102602;0
22534;0;0;51;40;27;6;1;42;34;16;3;102603;1
22535;0;5;56;24;15;18;2;49;26;11;11;102604;1
